x,h,j
2.536109679256308e-10,-1.071975384202922e-20,-6.431852305217533e-21
2.542748079858571e-10,-1.0775946329374082e-20,-6.46556779762445e-21
2.5494038568238876e-10,-1.0832433375314187e-20,-6.499460025188513e-21
2.5560770556358237e-10,-1.0889216523913169e-20,-6.533529914347902e-21
2.562767721896969e-10,-1.09462973273283e-20,-6.567778396396981e-21
2.569475901329281e-10,-1.1003677345853203e-20,-6.602206407511922e-21
2.576201639774429e-10,-1.1061358147960762e-20,-6.6368148887764575e-21
2.5829449831940317e-10,-1.111934131034536e-20,-6.671604786207217e-21
2.589705977670058e-10,-1.1177628417966718e-20,-6.706577050780031e-21
2.5964846694050664e-10,-1.1236221064092561e-20,-6.7417326384555375e-21
2.603281104722554e-10,-1.1295120850342465e-20,-6.777072510205479e-21
2.6100953300673027e-10,-1.1354329386731903e-20,-6.812597632039143e-21
2.616927392005635e-10,-1.141384829171569e-20,-6.848308975029414e-21
2.6237773372257637e-10,-1.147367919223253e-20,-6.884207515339519e-21
2.6306452125381405e-10,-1.1533823723749731e-20,-6.920294234249839e-21
2.6375310648757155e-10,-1.1594283530307376e-20,-6.956570118184426e-21
2.6444349412942883e-10,-1.1655060264563543e-20,-6.993036158738126e-21
2.6513568889728615e-10,-1.171615558783975e-20,-7.029693352703851e-21
2.658296955213887e-10,-1.1777571170165702e-20,-7.066542702099422e-21
2.665255187443678e-10,-1.1839308690325726e-20,-7.103585214195436e-21
2.672231633212656e-10,-1.1901369835903965e-20,-7.140821901542379e-21
2.6792263401957073e-10,-1.1963756303330807e-20,-7.178253781998485e-21
2.6862393561925434e-10,-1.2026469797929549e-20,-7.21588187875773e-21
2.693270729127961e-10,-1.2089512033962428e-20,-7.253707220377458e-21
2.700320507052201e-10,-1.215288473467776e-20,-7.291730840806657e-21
